hour,minute,day_of_week,is_weekend,is_peak,stop_encoded,platform_encoded,route_num,headsign_encoded,delay_min
23,31,6,1,0,2,0,2,3,1.0
23,32,6,1,0,2,0,9,2,1.0
23,31,6,1,0,2,0,2,3,1.0
23,32,6,1,0,2,0,9,2,1.0
23,33,6,1,0,2,0,22,1,1.0
23,42,6,1,0,2,0,9,2,1.0
23,51,6,1,0,2,0,2,3,1.0
23,33,6,1,0,2,0,22,1,1.0
23,42,6,1,0,2,0,9,2,1.0
23,51,6,1,0,2,0,2,3,1.0
23,33,6,1,0,2,0,22,1,1.0
23,51,6,1,0,2,0,2,3,1.0
23,51,6,1,0,2,0,2,3,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,2,0,1.0
8,53,0,0,1,1,0,22,1,2.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,22,1,1.0
8,58,0,0,1,1,0,18,4,7.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,2,0,2.0
8,53,0,0,1,1,0,22,1,2.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,2,0,2.0
8,53,0,0,1,1,0,22,1,2.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
9,2,0,0,0,1,0,9,2,1.0
8,58,0,0,1,1,0,18,4,5.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,2,0,2.0
8,53,0,0,1,1,0,22,1,2.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
9,2,0,0,0,1,0,9,2,1.0
8,58,0,0,1,1,0,18,4,5.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,2,0,2.0
8,53,0,0,1,1,0,22,1,2.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,1.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,2,0,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,1.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,2,0,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,6.0
8,52,0,0,1,1,0,9,2,1.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,2,0,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,6.0
8,52,0,0,1,1,0,9,2,1.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,2,0,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,6.0
8,52,0,0,1,1,0,9,2,1.0
8,53,0,0,1,1,0,2,0,1.0
8,53,0,0,1,1,0,22,1,1.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,2,0,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,6.0
8,52,0,0,1,1,0,9,2,1.0
8,53,0,0,1,1,0,2,0,1.0
8,53,0,0,1,1,0,22,1,1.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,48,0,0,1,1,0,18,4,11.0
8,58,0,0,1,1,0,22,5,1.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,2,0,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,6.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,1.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,48,0,0,1,1,0,18,4,11.0
8,58,0,0,1,1,0,22,5,1.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,2,0,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,6.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,1.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,48,0,0,1,1,0,18,4,11.0
8,58,0,0,1,1,0,22,5,1.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,2,0,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,6.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,38,0,0,1,1,0,18,4,19.0
8,55,0,0,1,1,0,23,6,2.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,2,0,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,6.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,55,0,0,1,1,0,23,6,2.0
8,38,0,0,1,1,0,18,4,19.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,2,0,1.0
9,3,0,0,0,1,0,22,1,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,6.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,55,0,0,1,1,0,23,6,2.0
8,38,0,0,1,1,0,18,4,19.0
8,57,0,0,1,1,0,9,2,1.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
8,58,0,0,1,1,0,18,4,5.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,22,1,1.0
9,3,0,0,0,1,0,2,0,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,55,0,0,1,1,0,23,6,1.0
8,38,0,0,1,1,0,18,4,19.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,22,1,1.0
8,58,0,0,1,1,0,18,4,6.0
9,3,0,0,0,1,0,2,0,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,55,0,0,1,1,0,23,6,1.0
8,38,0,0,1,1,0,18,4,19.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,22,1,1.0
8,58,0,0,1,1,0,18,4,6.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,55,0,0,1,1,0,23,6,1.0
8,38,0,0,1,1,0,18,4,19.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,22,1,1.0
8,58,0,0,1,1,0,18,4,6.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,1,0,9,2,5.0
8,52,0,0,1,1,0,9,2,2.0
8,53,0,0,1,1,0,22,1,1.0
8,53,0,0,1,1,0,2,0,2.0
8,55,0,0,1,1,0,23,6,1.0
8,38,0,0,1,1,0,18,4,19.0
8,58,0,0,1,1,0,22,5,1.0
8,48,0,0,1,1,0,18,4,12.0
9,2,0,0,0,1,0,9,2,1.0
9,3,0,0,0,1,0,22,1,1.0
8,58,0,0,1,1,0,18,4,6.0
9,8,0,0,0,1,0,18,4,1.0
9,8,0,0,0,1,0,22,5,1.0
8,47,0,0,1,2,0,9,2,5.0
8,52,0,0,1,2,0,9,2,2.0
8,53,0,0,1,2,0,22,1,1.0
8,53,0,0,1,2,0,2,0,2.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,58,0,0,1,2,0,22,5,1.0
8,48,0,0,1,2,0,18,4,12.0
9,2,0,0,0,2,0,9,2,1.0
9,3,0,0,0,2,0,22,1,1.0
8,58,0,0,1,2,0,18,4,6.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,1.0
8,47,0,0,1,2,0,9,2,5.0
8,52,0,0,1,2,0,9,2,2.0
8,53,0,0,1,2,0,22,1,1.0
8,53,0,0,1,2,0,2,0,2.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,58,0,0,1,2,0,22,5,1.0
8,48,0,0,1,2,0,18,4,11.0
9,2,0,0,0,2,0,9,2,1.0
8,58,0,0,1,2,0,18,4,6.0
9,3,0,0,0,2,0,22,1,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,1.0
8,47,0,0,1,2,0,9,2,5.0
8,52,0,0,1,2,0,9,2,2.0
8,53,0,0,1,2,0,22,1,1.0
8,53,0,0,1,2,0,2,0,2.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,58,0,0,1,2,0,22,5,1.0
8,48,0,0,1,2,0,18,4,11.0
9,2,0,0,0,2,0,9,2,2.0
8,58,0,0,1,2,0,18,4,6.0
9,3,0,0,0,2,0,2,0,1.0
9,3,0,0,0,2,0,22,1,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,1.0
9,12,0,0,0,2,0,9,2,1.0
8,47,0,0,1,2,0,9,2,5.0
8,52,0,0,1,2,0,9,2,1.0
8,53,0,0,1,2,0,2,0,1.0
8,53,0,0,1,2,0,22,1,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,58,0,0,1,2,0,22,5,1.0
8,48,0,0,1,2,0,18,4,11.0
9,2,0,0,0,2,0,9,2,2.0
8,58,0,0,1,2,0,18,4,6.0
9,3,0,0,0,2,0,2,0,1.0
9,3,0,0,0,2,0,22,1,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,1.0
9,12,0,0,0,2,0,9,2,1.0
8,47,0,0,1,2,0,9,2,5.0
8,52,0,0,1,2,0,9,2,1.0
8,53,0,0,1,2,0,2,0,1.0
8,53,0,0,1,2,0,22,1,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,11.0
9,2,0,0,0,2,0,9,2,2.0
8,58,0,0,1,2,0,18,4,6.0
9,3,0,0,0,2,0,22,1,1.0
9,3,0,0,0,2,0,2,0,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,2.0
9,12,0,0,0,2,0,9,2,1.0
8,52,0,0,1,2,0,9,2,1.0
8,53,0,0,1,2,0,2,0,1.0
8,53,0,0,1,2,0,22,1,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,11.0
9,2,0,0,0,2,0,9,2,2.0
8,58,0,0,1,2,0,18,4,6.0
9,3,0,0,0,2,0,22,1,1.0
9,3,0,0,0,2,0,2,0,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,2.0
9,12,0,0,0,2,0,9,2,1.0
8,52,0,0,1,2,0,9,2,1.0
8,53,0,0,1,2,0,22,1,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,11.0
9,2,0,0,0,2,0,9,2,2.0
9,3,0,0,0,2,0,22,1,1.0
9,3,0,0,0,2,0,2,0,1.0
8,58,0,0,1,2,0,18,4,6.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,2.0
9,12,0,0,0,2,0,9,2,1.0
8,52,0,0,1,2,0,9,2,1.0
8,53,0,0,1,2,0,22,1,1.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,11.0
9,2,0,0,0,2,0,9,2,2.0
9,3,0,0,0,2,0,22,1,1.0
9,3,0,0,0,2,0,2,0,1.0
8,58,0,0,1,2,0,18,4,6.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,2.0
9,12,0,0,0,2,0,9,2,1.0
8,52,0,0,1,2,0,9,2,1.0
8,53,0,0,1,2,0,22,1,1.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,12.0
9,2,0,0,0,2,0,9,2,2.0
9,3,0,0,0,2,0,22,1,1.0
9,3,0,0,0,2,0,2,0,1.0
8,58,0,0,1,2,0,18,4,6.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,2.0
8,52,0,0,1,2,0,9,2,1.0
8,53,0,0,1,2,0,22,1,2.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,12.0
9,2,0,0,0,2,0,9,2,1.0
9,3,0,0,0,2,0,22,1,1.0
8,58,0,0,1,2,0,18,4,6.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,2.0
9,13,0,0,0,2,0,2,0,1.0
8,52,0,0,1,2,0,9,2,1.0
8,53,0,0,1,2,0,22,1,2.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,12.0
9,2,0,0,0,2,0,9,2,1.0
8,58,0,0,1,2,0,18,4,5.0
9,3,0,0,0,2,0,22,1,1.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,2.0
9,13,0,0,0,2,0,2,0,1.0
8,52,0,0,1,2,0,9,2,1.0
8,53,0,0,1,2,0,22,1,2.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,12.0
9,2,0,0,0,2,0,9,2,1.0
8,58,0,0,1,2,0,18,4,5.0
9,3,0,0,0,2,0,22,1,1.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,2.0
9,13,0,0,0,2,0,2,0,1.0
8,53,0,0,1,2,0,22,1,2.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,12.0
9,2,0,0,0,2,0,9,2,1.0
8,58,0,0,1,2,0,18,4,5.0
9,3,0,0,0,2,0,22,1,1.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,3.0
9,13,0,0,0,2,0,2,0,1.0
8,53,0,0,1,2,0,22,1,2.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,12.0
9,2,0,0,0,2,0,9,2,1.0
8,58,0,0,1,2,0,18,4,6.0
9,3,0,0,0,2,0,22,1,1.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,3.0
9,13,0,0,0,2,0,2,0,1.0
8,53,0,0,1,2,0,22,1,2.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,12.0
9,2,0,0,0,2,0,9,2,1.0
8,58,0,0,1,2,0,18,4,6.0
9,3,0,0,0,2,0,22,1,1.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,4.0
9,13,0,0,0,2,0,2,0,1.0
9,18,0,0,0,2,0,22,5,1.0
8,53,0,0,1,2,0,22,1,2.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,1.0
8,48,0,0,1,2,0,18,4,11.0
9,2,0,0,0,2,0,9,2,1.0
8,58,0,0,1,2,0,18,4,6.0
9,3,0,0,0,2,0,2,0,1.0
9,3,0,0,0,2,0,22,1,1.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,4.0
9,13,0,0,0,2,0,2,0,1.0
9,18,0,0,0,2,0,22,5,1.0
8,53,0,0,1,2,0,22,1,1.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,2.0
8,48,0,0,1,2,0,18,4,11.0
9,2,0,0,0,2,0,9,2,1.0
9,3,0,0,0,2,0,2,0,1.0
9,3,0,0,0,2,0,22,1,1.0
8,58,0,0,1,2,0,18,4,6.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,4.0
9,13,0,0,0,2,0,2,0,1.0
9,18,0,0,0,2,0,22,5,1.0
8,53,0,0,1,2,0,22,1,1.0
8,55,0,0,1,2,0,23,6,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,2.0
8,48,0,0,1,2,0,18,4,11.0
9,3,0,0,0,2,0,2,0,1.0
9,3,0,0,0,2,0,22,1,1.0
8,58,0,0,1,2,0,18,4,6.0
9,2,0,0,0,2,0,9,2,2.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,4.0
9,13,0,0,0,2,0,2,0,1.0
9,18,0,0,0,2,0,22,5,1.0
8,53,0,0,1,2,0,22,1,1.0
8,38,0,0,1,2,0,18,4,19.0
8,57,0,0,1,2,0,9,2,2.0
8,48,0,0,1,2,0,18,4,11.0
9,3,0,0,0,2,0,2,0,1.0
9,3,0,0,0,2,0,22,1,1.0
8,58,0,0,1,2,0,18,4,6.0
9,2,0,0,0,2,0,9,2,2.0
9,7,0,0,0,2,0,9,2,1.0
9,8,0,0,0,2,0,22,5,1.0
9,8,0,0,0,2,0,18,4,4.0
9,13,0,0,0,2,0,2,0,1.0
9,18,0,0,0,2,0,22,5,1.0
